example_id,cot_length,correct,prediction,truncated
gsm8k-test-test-1309-0,192,False,700,True
gsm8k-test-test-228-0,192,False,6,True
gsm8k-test-test-51-0,192,False,0.3,True
gsm8k-test-test-563-0,192,False,3,True
gsm8k-test-test-501-0,192,False,2,True
gsm8k-test-test-457-0,192,False,30,True
gsm8k-test-test-285-0,192,False,1,True
gsm8k-test-test-209-0,192,False,1800,True
gsm8k-test-test-1116-0,167,True,60,False
gsm8k-test-test-178-0,192,False,3,True
gsm8k-test-test-1209-0,192,False,3,True
gsm8k-test-test-864-0,192,False,480,True
gsm8k-test-test-65-0,192,False,3,True
gsm8k-test-test-61-0,192,False,130,True
gsm8k-test-test-191-0,192,False,10,True
gsm8k-test-test-447-0,187,True,5,False
gsm8k-test-test-476-0,176,True,5,False
gsm8k-test-test-1034-0,174,True,66,False
gsm8k-test-test-1232-0,192,False,4,True
gsm8k-test-test-54-0,186,False,33,False
gsm8k-test-test-1149-0,192,False,30,True
gsm8k-test-test-407-0,192,False,3000,True
gsm8k-test-test-859-0,192,False,2,True
gsm8k-test-test-451-0,192,False,6,True
gsm8k-test-test-919-0,192,False,2,True
gsm8k-test-test-1206-0,192,False,100,True
gsm8k-test-test-569-0,192,False,,False
gsm8k-test-test-13-0,192,False,2,True
gsm8k-test-test-326-0,192,False,4,True
gsm8k-test-test-865-0,192,False,4,True
gsm8k-test-test-696-0,192,False,2,True
gsm8k-test-test-318-0,192,False,10,True
gsm8k-test-test-440-0,192,False,9,True
gsm8k-test-test-689-0,192,False,10,True
gsm8k-test-test-189-0,192,False,20.25,True
gsm8k-test-test-778-0,192,False,8,True
gsm8k-test-test-198-0,192,False,40,True
gsm8k-test-test-735-0,192,True,0.50,True
gsm8k-test-test-704-0,192,False,4,True
gsm8k-test-test-1236-0,192,False,-24,True
gsm8k-test-test-541-0,192,False,2,True
gsm8k-test-test-88-0,192,False,11,True
gsm8k-test-test-940-0,192,False,8,True
gsm8k-test-test-1098-0,191,True,30,False
gsm8k-test-test-255-0,192,False,2,True
gsm8k-test-test-775-0,192,False,374,True
gsm8k-test-test-161-0,192,False,3,True
gsm8k-test-test-1130-0,192,False,16,True
gsm8k-test-test-600-0,189,True,10,False
gsm8k-test-test-1287-0,192,False,7,True
