example_id,cot_length,correct,prediction,truncated
gsm8k-test-test-1309-0,115,False,300,True
gsm8k-test-test-228-0,115,False,2,True
gsm8k-test-test-51-0,115,False,0.1,True
gsm8k-test-test-563-0,115,False,2,True
gsm8k-test-test-501-0,115,False,364,True
gsm8k-test-test-457-0,115,False,3,True
gsm8k-test-test-285-0,115,False,9,True
gsm8k-test-test-209-0,115,False,288,True
gsm8k-test-test-1116-0,115,False,10,True
gsm8k-test-test-178-0,115,False,40,True
gsm8k-test-test-1209-0,115,False,1,True
gsm8k-test-test-864-0,115,False,50,True
gsm8k-test-test-65-0,115,False,2,True
gsm8k-test-test-61-0,115,False,13,True
gsm8k-test-test-191-0,115,False,3,True
gsm8k-test-test-447-0,115,False,240,True
gsm8k-test-test-476-0,115,False,300,True
gsm8k-test-test-1034-0,115,False,18,True
gsm8k-test-test-1232-0,115,False,20,True
gsm8k-test-test-54-0,115,False,7,True
gsm8k-test-test-1149-0,115,False,4,True
gsm8k-test-test-407-0,115,False,3,True
gsm8k-test-test-859-0,115,False,10,True
gsm8k-test-test-451-0,115,False,2,True
gsm8k-test-test-919-0,115,False,30,True
gsm8k-test-test-1206-0,115,False,0.4,True
gsm8k-test-test-569-0,115,False,4,True
gsm8k-test-test-13-0,115,False,2,True
gsm8k-test-test-326-0,115,False,20,True
gsm8k-test-test-865-0,115,False,3,True
gsm8k-test-test-696-0,115,False,15,True
gsm8k-test-test-318-0,115,False,3,True
gsm8k-test-test-440-0,115,False,3,True
gsm8k-test-test-689-0,115,False,3.20,True
gsm8k-test-test-189-0,115,False,4.50,True
gsm8k-test-test-778-0,115,False,12,True
gsm8k-test-test-198-0,115,False,3,True
gsm8k-test-test-735-0,115,False,1,True
gsm8k-test-test-704-0,115,False,5,True
gsm8k-test-test-1236-0,115,False,5,True
gsm8k-test-test-541-0,115,False,30,True
gsm8k-test-test-88-0,115,False,88000,True
gsm8k-test-test-940-0,115,False,5,True
gsm8k-test-test-1098-0,115,False,20,True
gsm8k-test-test-255-0,115,False,40,True
gsm8k-test-test-775-0,115,False,228,True
gsm8k-test-test-161-0,115,False,5,True
gsm8k-test-test-1130-0,115,False,200,True
gsm8k-test-test-600-0,115,True,10,True
gsm8k-test-test-1287-0,115,False,2,True
